Officer Disciplined?,Years of SPD Service,Subject Race,Subject Gender,Subject Age,Fatal,Disposition
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,4,Black or African American,Male,28,No,Within Policy
No,3,Black or African American,Male,28,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,6,White,Male,25,No,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,3,Nat Hawaiian/Oth Pac Islander,Male,36,Yes,Within Policy
No,7,White,Male,23,Yes,Justified
No,10,White,Male,23,Yes,Justified
Missing,9,Black or African American,Male,32,Yes,Missing
Missing,4,Black or African American,Male,32,Yes,Missing
Missing,24,Black or African American,Male,32,Yes,Missing
Missing,14,Black or African American,Male,32,Yes,Missing
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,8,White,Male,41,Yes,Within Policy
No,17,White,Male,41,Yes,Within Policy
No,9,Black or African American,Female,30,Yes,Within Policy
Yes,2,Black or African American,Female,30,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,6,White,Male,37,Yes,Within Policy
No,19,White,Male,66,No,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,< 1,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,2,White,Male,24,Yes,Within Policy
No,16,White,Male,24,Yes,Within Policy
